[22:39:30] Loaded 1068 existing results.
[22:39:30] P13 binary cache loaded.
[22:39:30] Total items: 1049 | Already done: 677 | Remaining: 372
[02:00:06]   [  26/49] P16 id= 177 | binary:✓ full:✓
[02:00:11]   [  27/49] P16 id= 178 | binary:✓ full:✓
[02:00:14]   [  28/49] P16 id= 179 | binary:✗ full:✓
[02:00:18]   [  29/49] P16 id= 180 | binary:✓ full:✓
[02:00:24]   [  30/49] P16 id= 181 | binary:✓ full:✓
[02:00:27]   [  31/49] P16 id= 182 | binary:✓ full:✓
[02:00:32]   [  32/49] P16 id= 183 | binary:✓ full:✓
[02:00:35]   [  33/49] P16 id= 184 | binary:✓ full:✗
[02:00:38]   [  34/49] P16 id= 185 | binary:✓ full:✓
[02:00:41]   [  35/49] P16 id= 186 | binary:✗ full:✓
[02:00:45]   [  36/49] P16 id= 187 | binary:✓ full:✗
[02:00:49]   [  37/49] P16 id= 188 | binary:✓ full:✓
[02:00:53]   [  38/49] P16 id= 189 | binary:✗ full:✗
[02:00:57]   [  39/49] P16 id= 190 | binary:✗ full:✗
[02:01:01]   [  40/49] P16 id= 191 | binary:✓ full:✓
[02:01:07]   [  41/49] P16 id= 192 | binary:✓ full:✓
